route;age;wifi;travel;game;pet;instrument
GD;20;4;90;osu;no;
SE;20;4;15;league of legends;;string
TI;21;4;45;minecraft;no;
TI;21;4;20;elder scrolls;;string
GD;24;4;30;world of warcraft;no;
SE;20;4;40;league of legends;no;string
TI;20;3;90;call of duty;no;string
TI;22;4;45;borderlands;yes;string
TI;23;4;15;team fortress;no;string
BIM;25;4;45;fifa;no;
SE;20;5;15;league of legends;yes;string
TI;21;5;45;minecraft;no;
SE;;;60;city skylines;yes;
SE;21;4;45;civilization;no;
BIM;23;5;40;final fantasy;no;
BIM;23;;30;arkham knight;no;
GD;21;4;60;rocket league;yes;string
SE;23;4;90;warhammer;yes;keyboard
SE;23;4;60;warhammer;;string
BIM;22;4;30;smite;yes;aerophone
SE;20;4;15;league of legends;yes;keyboard
SE;26;4;45;hades;yes;
TI;21;4;20;elder scrolls;yes;string
GD;24;4;30;world of warcraft;no;
GD;21;4;30;league of legends;no;
SE;20;4;80;;yes;
SE;20;4;35;fortnite;yes;
SE;21;4;25;;;
SE;26;4;120;fortnite;;
SE;21;4;45;gta;yes;
SE;20;4;35;fortnite;yes;
SE;28;4;50;arma;;
SE;24;4;60;gta;yes;
SE;26;4;120;fortnite;;
SE;21;4;45;gta;yes;
TI;19;4;35;valorant;yes;string
TI;25;;45;valorant;yes;keyboard
TI;21;3;45;dark souls;no;aerophone
TI;35;4;60;zelda;no;string
BIM;21;4;60;halo;yes;
GD;21;;25;counter strike;yes;
TI;23;;15;team fortress;no;
TI;25;;45;valorant;yes;
BIM;21;;60;halo;yes;
TI;21;;45;dark souls;no;
BIM;23;4;40;final fantasy;no;
SE;21;4;45;civilization;no;
TI;35;4;60;zelda;no;string
SE;;;50;;yes;
TI;21;4;45;dark souls;no;
TI;23;;15;team fortress;;string
TI;20;;90;call of duty;no;string
TI;21;;45;dark souls;no;aerophone
SE;20;;30;bloodborne;yes;aerophone
SE;20;;25;;no;string
GD;21;4;45;warhammer;yes;
GD;21;4;25;counter strike;yes;
GD;23;4;45;divinity;yes;
CB;20;4;45;counter strike;yes;keyboard
SE;21;4;60;world of warcraft;yes;
SE;20;4;60;forza horizon;no;
SE;21;4;55;fallout;yes;keyboard
SE;25;4;60;;yes;
GD;20;;90;;Yes;keyboard
GD;20;5;30;league of legends;No;
TI;22;5;45;factorio;No;
GD;24;4;30;world of warcraft;No;
SE;20;4;15;league of legends;Yes;string
ME;19;4;35;valorant;Yes;string
TI;35;4;60;zelda;no;string
BIM;21;4;60;halo;Yes;
GD;21;4;45;warhammer;Yes;
SE;;4;50;city skylines;Yes;
TI;21;3;;dark souls;no;aerophone
ME;19;4;;falorent;yes;string
GD;19;4;;hitman;yes;
SE;21;4;;civilization;no;
TI;35;4;60;zelda;no;string
TI;25;4;45;valorant;yes;keyboard
TI;35;4;60;zelda;no;string
;21;4;45;;no;aerophone
BIM;21;4;60;halo;yes;
GD;21;4;25;counter strike;yes;
ME;19;4;35;valorant;yes;string
TI;35;4;60;zelda;no;string
BIM;21;4;60;halo;yes;
TI;21;3;45;dark souls;no;
GD;21;4;45;warhammer;yes;
SE;;;50;city skylines;yes;
Se;20;2;25;;no;string
Ti;23;4;15;team fortress;no;string
Ti;22;4;40;borderlands;yes;string
Ti;21;4;45;dark souls;no;aerophone
Gd;21;4;40;counter strike;no;
BIM;20;5;45;skyrim;yes;
CS;20;2;45;fifa;yes; keyboard
GD;20;5;45;league of legends;yes;
CS;20;5;45;counter strike;yes; keyboard
SE;20;5;45;fifa;yes; keyboard
SE;20;4;40;league of legends;no;string
TI;20;3;90;call of duty;no;string
TI;22;4;45;borderlands;yes;string
TI;23;4;15;team fortress;no;string
BIM;25;4;45;fifa;no;
GD;21;5;55;rocket league;yes;string
GD;21;3;40;paladins;yes;keyboard
SE;23;4;90;warhammer;yes;keyboard
SE;23;4;60;warhammer;no;string
BIM;22;4;30;smite;yes;aerophone
SE;26;4;120;call of duty;no;
SE;28;4;50;arma;no;
SE;24;4;60;fortnite;no;
SE;20;4;35;fortnite;yes;
SE;21;4;45;gta;yes;
TI;21;5;20;elder scrolls;yes;string
SE;20;4;15;league of legends;yes;
SE;26;4;45;hades;yes;
SE;20;4;30;bloodborne;yes;aerophone
ME;20;2;53;apex legends;yes;aerophone
GD;21;;30;league of legends;no;
TI;21;;45;minecraft;no;
SE;26;;45;hades;yes;
GD;24;;30;world of warcraft;no;
SE;20;;15;league of legends;yes;
ME;19;4;35;valorant;yes;string
TI;35;4;60;zelda;no;string
BIM;21;4;60;halo;yes;
TI;21;4;45;dark souls;;
GD;21;4;45;warhammer;yes;
SE;;;50;city skylines;yes;
GD;21;5;55;rocket league;yes;string
GD;21;3;40;paladins;yes;keyboard
SE;23;4;90;warhammer;yes;keyboard
SE;23;4;60;warhammer;;string
BIM;22;4;30;smite;yes;aerophone
SE;21;4;50;call of duty;yes;
SE;24;4;40;minecraft;yes;string
SE;26;4;120;fortnite;no;
SE;20;4;80;;yes;
SE;21;4;25;fortnite;no;
SE;28;4;50;arma;no;
SE;21;4;60;world of warcraft;yes;
SE;21;5;60;gta;no;
SE;21;4;55;fallout;yes;keyboard
SE;25;4;60;;yes;
GD;19;4;65;;yes;
SE;21;4;45;;no;
EE;19;4;90;;no;
TI;35;4;60;;no;
ME;21;4;50;;yes;
SE;21;4;45;civilization;no;
EE;19;4;90;pubg;no;
TI;35;4;60;zelda;no;string
GD;19;4;65;hitman;yes;
SE;20;4;60;forza horizon;no;
SE;25;4;60;;yes;
SE;21;5;60;gta;no;
SE;21;4;55;fallout;yes;keyboard
SE;21;4;60;world of warcraft;yes;
SE;21;4;60;gta;no;
SE;20;4;60;forza horizon;no;
SE;21;4;55;fallout;yes;keyboard
;20;4;47;Elden Ring;no;
SE;18;5;15;Valorant;no;
SE;19;5;43;Minecraft;no;
